200;4
200;5
201;11
201;4
201;6
201;5
202;11
202;9
202;7
203;11
203;7
203;9
204;9
204;4
205;11
205;4
205;5
206;2
207;10
208;2
208;4
209;6
210;4
210;5
211;4
212;10
213;11
213;9
213;10
213;5
214;2
215;2
216;2
217;4
218;10
219;10
219;2
220;11
220;4
221;10
222;10
222;2
223;11
223;4
224;4
224;5
225;4
225;5
226;6
227;7
227;9
228;9
228;7
229;11
230;4
230;5
231;11
231;4
231;5
232;9
232;11
233;10
233;11
234;9
234;4
235;9
236;10
236;9
236;7
236;5
237;10
237;4
238;9
239;7
240;2
241;11
241;6
242;6
242;4
243;11
243;10
243;5
243;4
244;4
245;4
245;5
245;6
246;2
247;11
247;5
247;4
248;2
248;6
248;10
248;4
249;11
249;10
249;5
249;4
250;4
251;11
251;4
252;4
253;11
253;4
253;5
253;6
254;11
255;10
256;7
256;9
257;11
257;9
257;5
257;4
258;7
258;9
259;7
260;10
261;7
262;9
262;4
263;9
263;4
264;9
264;6
275;9
