0;CONGELACIÓN;Truco de Evocación;1 acción;60 pies;V, S;Instantánea;Haces que una congelación entumecedora se forme en una criatura que puedas ver dentro del alcance. El objetivo debe superar una tirada de salvación de Constitución. Si falla la tirada, el objetivo sufre 1d6 puntos de daño por frío y sufre desventaja en su próxima tirada de ataque que haga antes del final de su próximo turno.<br><br>El daño del conjuro se incrementa en 1d6 cuando llegas al 5° nivel (2d6), 11° nivel (3d6) y 17° nivel (4d6).;Hechicero (TE)
0;CONTROLAR LLAMAS;Truco de Transmutación;1 acción;60 pies;S;Instantánea o 1 hora (ver abajo);Escoges unas llamas no mágicas que puedas ver dentro de alcance y que llenen un cuadrado de 5 pies. Las afectas de una de las siguientes formas:.<BR><BR>• Expandes instantáneamente las llamas en 5 pies en una dirección que elijas, siempre que haya madera u otro combustible en esa nueva localización. Extingues instantáneamente las llamas dentro del cubo.<BR>• Doblas o disminuyes a la mitad las áreas de luz brillante y luz tenue creadas por las llamas, cambias su color o ambas. El cambio dura 1 hora.<BR>• Puedes crear formas simples: la forma vaga de una criatura, un objeto inanimado o una localización, para que aparezcan dentro de las llamas y se animen a tu voluntad.<br><br>El cambio dura 1 hora. Si lanzas este conjuro múltiples veces, puedes tener hasta 3 de sus efectos activos al mismo tiempo y puedes anular uno de esos efectos como una acción.;Hechicero (TE)
0;CREAR HOGUERA;Truco de Conjuración;1 acción;60 pies;V, S;Concentración, hasta 1 minuto;Creas una hoguera en un punto en el suelo que puedas ver y que esté dentro de alcance. Hasta que el conjuro termina, la hoguera llena un cuadrado de 5 pies de lado. Cualquier criatura en el espacio de la hoguera debe superar una tirada de salvación de Destreza o sufrir 1d8 puntos de daño de fuego. Una criatura también debe realizar la tirada de salvación cuando entra en el espacio de la hoguera al principio de un turno o cuando termina su turno en él. El daño del conjuro se incrementa en 1d8 cuando llegas al 5° nivel (2d8), 11° nivel (3d8) y 17° nivel (4d8).;Hechicero (TE)
0;ESTALLIDO DE ESPADAS;Truco de Conjuración;1 acción;5 pies;V;Instantánea;"Creas momentáneamente un círculo de espadas espectrales que giran a tu alrededor. Cada criatura dentro de alcance, excepto tu, debe superar una tirada de salvación de Destreza o sufrir 1d6 puntos de daño de fuerza.<BR><BR>El daño de este conjuro se incrementa en 1d6 al llegar al 5° nivel (2d6), al 11° nivel (3d6) y al 17° nivel (4d6).
";Hechicero (GACE)
0;HOJA DE LLAMAS VERDES;Truco de Evocación;1 acción;5 pies;V, M;1 asalto;(un arma)Como parte de la acción usada para lanzar este conjuro, realizas u ataque cuerpo a cuerpo con un arma contra una criatura dentro del alcance del conjuro, en cualquier otro caso, el conjuro fallará.<BR>Si impactas, el blanco sufrirá los efectos normales del ataque y un fuego verde saltará del blanco hacia una criatura diferente a tu elección que puedas ver y que esté a menos de 5 pies de él.<BR>La segunda criatura sufre daño por fuego igual a tu modificador de característica de conjuros.<BR>El daño de este conjuro se incrementa cuando llegas a niveles más altos. Al llegar al 5° nivel, el ataque cuerpo a cuerpo produce 1d8 puntos de daño por fuego adicionales al blanco y el daño por fuego a la segunda criatura se incrementa a 1d8+ tu modificador de característica de conjuros.<BR>Ambas tiradas de daño se incrementan en 1d8  en el 11° nivel y en el 17°.;Hechicero (GACE)
0;HOJA RETUMBANTE;Truco de Evocación;1 acción;5 pies;V, M;1 asalto;"(un arma)Como parte de la acción usada para lanzar este conjuro, realizas u ataque cuerpo a cuerpo con un arma contra una criatura dentro del alcance del conjuro, en cualquier otro caso, el conjuro fallará.<BR><BR>Si impactas, el blanco sufrirá los efectos normales del ataque y quedará envuelto en una retumbante energía hasta el principio de tu siguiente turno. Si el blanco se mueve voluntariamente antes de eso, sufrirá inmediatamente 1d8 puntos de daño por trueno y el conjuro terminara.<BR><BR>El daño de este conjuro se incrementa cuando llegas a niveles más altos. Al llegar al 5° nivel, el ataque cuerpo a cuerpo produce 1d8 puntos de daño por trueno al blanco y el daño que el blanco sufre se incrementa a 2d8. Ambas tiradas de daño se incrementan en 1d8  en el 11° nivel y en el 17°.
";Hechicero (GACE)
0;LAZO RELAMPAGUEANTE;Truco de Evocación;1 acción;15 pies;V;Instantánea;Creas un lazo de energía relampagueante que golpea a una criatura a tu elección que puedas ver y que esté dentro de alcance. El blanco debe superar una tirada de salvación de Fuerza o ser arrastrado hasta 10 pies en línea recta hacia ti, y luego sufrir 1d8 puntos de daño de relámpago si queda a menos de 5 pies de ti.<BR><BR>El daño de este conjuro se incrementa en 1d8 al llegar al 5° nivel (2d8), al 11° nivel (3d8) y al 17° nivel (4d8).;Hechicero (GACE)
0;MOLDEAR AGUA;Truco de Transmutación;1 acción;30 pies;S;Instantánea o 1 hora (ver abajo);Escoges un área de agua que puedas ver dentro de alcance y que quepa dentro de un cubo de 5 pies. La manipulas en una de las siguientes formas:<BR><BR>• Mueves o cambias instantáneamente la dirección del flujo del agua a tu voluntad, hasta 5 pies en cualquierdirección. Este movimiento no tiene suficiente fuerza como para causar daño.<BR>• Puedes hacer que el agua forme figuras simples y que se anime a tu voluntad. Este cambio dura 1 hora.<BR>• Cambias el color u opacidad del agua. El agua debe ser cambiada de la misma forma en toda el área. Este cambio dura 1 hora.<BR>• Congelas el agua, siempre que no haya criaturas en ella. El agua se descongela en una hora. Si lanzas este conjuro varias veces, no puedes tener más de dos de sus efectos no instantáneos activos al mismo tiempo, y como acción puedes finalizar esos efectos.;Hechicero (TE)
0;MOLDEAR TIERRA;Truco de Transmutación;1 acción;30 pies;S;Instantánea o 1 hora (ver abajo);Escoges una porción de tierras suelta o piedra que puedas ver dentro de alcance y que quepa dentro de un cubo de 5 pies. La manipulas en una de las siguientes formas:<BR><BR>• Si tomas como objetivo un área de tierra suelta, puedes excavar inmediatamente un agujero en ella, moverla a lo largo del suelo y depositar hasta a 5 pies de distancia. Este movimiento no tiene suficiente fuerza como para causar daño.<BR><BR>• Puedes crear formas, colores o ambos en la tierra o roca, creando palabras, imágenes o diseños. Los cambios duran una hora.<BR><BR>• Si la tierra o roca a la que afectas está en el suelo, puedes hacer que se convierta en terreno difícil. De otra forma, puedes hacer que el terreno se vuelva terreno normal si ya es terreno difícil. Este cambio dura una hora. Si lanzas este conjuro varias veces, no puedes tener más de dos de sus efectos no instantáneos activos al mismo tiempo, y como acción puedes finalizar esos efectos.;Hechicero (TE)
0;SOPLO DE VIENTO;Truco de Transmutación;1 acción;30 pies;V, S;Instantánea;Controlas el propio aire y lo manejas para crear uno de los siguientes efectos en un punto que veas dentro de alcance:<BR><BR>• Una criatura de tamaño Mediano o más pequeño que elijas debe superar una tirada de salvación de Fuerza o ser apartada hasta 5 pies lejos de ti.<BR><BR>• Creas una ráfaga de aire capaz de mover un objeto que no esté siendo sostenido o llevado encima y que pese no más de 5 libras. El objeto es empujado hasta 10 pies de tu posición. No es empujado con la suficiente fuerza como para poder causar daño.<br><BR>• Creas un inofensivo efecto sensorial usando el aire, como por ejemplo hacer que se muevan las hojas, hacer que se cierren las ventanas de golpe o hacer que tus ropas se muevan sacudidas por el viento.;Hechicero (TE)
